2025-12-16 22:15:32.035 | INFO     | __main__:__init__:35 - Initializing RAG system...
2025-12-16 22:15:32.048 | INFO     | __main__:__init__:42 - Connected to Ollama at http://100.102.213.61:11434
2025-12-16 22:15:32.146 | INFO     | src.analyzers.filing_analyzer:__init__:25 - Initialized FilingAnalyzer
2025-12-16 22:15:32.146 | INFO     | __main__:__init__:58 - RAG system initialized
2025-12-16 22:15:32.146 | INFO     | __main__:initialize_embeddings:68 - Fetching SEC filings from database...
2025-12-16 22:15:32.160 | INFO     | __main__:initialize_embeddings:102 - Found 9 filings. Creating embeddings...
2025-12-16 22:15:32.160 | INFO     | __main__:initialize_embeddings:107 - Processing NVDA 10-Q (1/9)...
2025-12-16 22:15:32.188 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'business' not found in filing
2025-12-16 22:15:32.190 | DEBUG    | src.analyzers.filing_analyzer:extract_section:56 - Extracted section 'risk_factors': 2 chars
2025-12-16 22:15:32.220 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'unresolved_staff_comments' not found in filing
2025-12-16 22:15:32.247 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'properties' not found in filing
2025-12-16 22:15:32.275 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'legal_proceedings' not found in filing
2025-12-16 22:15:32.307 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'mda' not found in filing
2025-12-16 22:15:32.337 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'financials' not found in filing
2025-12-16 22:15:32.365 | DEBUG    | src.analyzers.filing_analyzer:extract_section:46 - Section 'controls' not found in filing
2025-12-16 22:15:32.365 | INFO     | src.analyzers.filing_analyzer:extract_all_sections:86 - Extracted 1 sections from filing
2025-12-16 22:15:32.365 | INFO     | __main__:initialize_embeddings:115 -   Section extraction found insufficient content, using full document chunking
2025-12-16 22:15:32.434 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:32941/embedding": EOF (status code: 500)
2025-12-16 22:15:38.236 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:37893/embedding": EOF (status code: 500)
2025-12-16 22:15:43.925 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:41035/embedding": EOF (status code: 500)
2025-12-16 22:15:49.700 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:33859/embedding": EOF (status code: 500)
2025-12-16 22:15:50.723 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:35003/embedding": EOF (status code: 500)
2025-12-16 22:15:56.458 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:45623/embedding": EOF (status code: 500)
2025-12-16 22:16:02.179 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:35739/embedding": EOF (status code: 500)
2025-12-16 22:16:07.927 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:41645/embedding": EOF (status code: 500)
2025-12-16 22:16:13.663 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:45673/embedding": EOF (status code: 500)
2025-12-16 22:16:19.500 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:38665/embedding": EOF (status code: 500)
2025-12-16 22:16:25.438 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:34673/embedding": EOF (status code: 500)
2025-12-16 22:16:27.179 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:35945/embedding": EOF (status code: 500)
2025-12-16 22:16:31.787 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:33101/embedding": EOF (status code: 500)
2025-12-16 22:16:37.624 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:38089/embedding": EOF (status code: 500)
2025-12-16 22:16:43.358 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:43385/embedding": EOF (status code: 500)
2025-12-16 22:16:49.188 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:43777/embedding": EOF (status code: 500)
2025-12-16 22:16:55.035 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:34523/embedding": EOF (status code: 500)
2025-12-16 22:17:00.972 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:36561/embedding": EOF (status code: 500)
2025-12-16 22:17:04.862 | ERROR    | __main__:initialize_embeddings:164 -   Error creating embedding: do embedding request: Post "http://127.0.0.1:37221/embedding": EOF (status code: 500)
